timestamp_sec,url,cpu_percent,load_avg_1m,valkey_rtt_ms,active_ws_connections
1789022686,https://10.1.75.51:5272/health,11.00,6.57,10.66,0
1789022688,https://10.1.75.51:5270/health,11.00,6.44,17.91,0
1789022688,https://10.1.75.51:5271/health,7.30,6.44,5.46,0
1789022688,https://10.1.75.51:5272/health,7.30,6.44,25.54,0
1789022691,https://10.1.75.51:5270/health,7.00,6.44,121.77,0
1789022691,https://10.1.75.51:5271/health,9.50,6.44,100.67,0
1789022691,https://10.1.75.51:5272/health,10.90,6.44,85.92,0
1789022692,https://10.1.75.51:5270/health,13.50,6.44,33.98,0
1789022692,https://10.1.75.51:5271/health,13.50,6.44,94.53,0
1789022692,https://10.1.75.51:5272/health,9.20,6.57,89.67,0
1789022694,https://10.1.75.51:5270/health,10.90,6.57,103.36,0
1789022694,https://10.1.75.51:5271/health,11.20,6.57,81.48,0
1789022694,https://10.1.75.51:5272/health,12.10,6.57,25.20,0
1789022696,https://10.1.75.51:5270/health,11.30,6.57,79.87,0
1789022696,https://10.1.75.51:5271/health,11.60,6.57,85.63,0
1789022696,https://10.1.75.51:5272/health,12.20,6.57,90.97,0
1789022698,https://10.1.75.51:5270/health,12.40,6.44,148.19,0
1789022698,https://10.1.75.51:5271/health,10.80,6.44,116.80,0
1789022698,https://10.1.75.51:5272/health,9.10,6.44,139.33,0
1789022700,https://10.1.75.51:5270/health,10.10,6.44,154.87,0
1789022700,https://10.1.75.51:5271/health,10.00,6.44,115.20,0
1789022700,https://10.1.75.51:5272/health,10.30,6.44,116.94,0
1789022702,https://10.1.75.51:5270/health,10.10,6.44,29.63,0
1789022702,https://10.1.75.51:5271/health,9.70,6.44,104.85,0
1789022702,https://10.1.75.51:5272/health,9.90,6.44,159.54,0
1789022704,https://10.1.75.51:5270/health,10.60,6.25,71.81,0
1789022704,https://10.1.75.51:5271/health,10.50,6.25,130.94,0
1789022704,https://10.1.75.51:5272/health,10.70,6.25,78.49,0
1789022706,https://10.1.75.51:5270/health,10.70,6.25,67.07,0
